Campus,Building Name,Latitude,Longitude
Danforth,1,38.649681968298665,-90.31266028072311
Danforth,1,38.649717861113054,-90.31256452887378
Danforth,11,38.65059672026798,-90.314809083412
Danforth,2,38.64970743916776,-90.31291270629153
Danforth,21,38.65114180959923,-90.31379444492883
Danforth,22,38.65109897084123,-90.31358383601827
Danforth,3,38.64977516779159,-90.31315920609055
Danforth,4,38.649789719820916,-90.31344974385641
Danforth,5,38.64978487262901,-90.3137021129867
Danforth,6,38.6495152950207,-90.31408442778314
Danforth,6200,38.64552104200578,-90.3016757922602
Danforth,7,38.64983316445837,-90.31401572407741
Danforth,8,38.65070406917284,-90.3147151651382
Danforth,ANHEUSER-BUSCH HALL,38.64969379001813,-90.3120444778769
Danforth,APT #1,38.65041136841375,-90.31281340096429
Danforth,APT #2,38.65071276037875,-90.31224803150408
Danforth,APT #3,38.650808319318266,-90.31329068642545
Danforth,APT #4,38.65091152704291,-90.31274936562235
Danforth,ATHLETIC COMPLEX,38.64928432004238,-90.31466075729415
Danforth,ATHLETIC COMPLEX,38.6500723349171,-90.31465787595478
Danforth,ATHLETIC COMPLEX,38.64996517577266,-90.31509976407024
Danforth,BAUER HALL,38.64937215886111,-90.31069120478179
Danforth,BAYER LAB,38.64741036540539,-90.30758328647062
Danforth,BEAUMONT PAVILLION,38.648458979968545,-90.30554861732205
Danforth,BIXBY HALL,38.64653921470633,-90.30226437910706
Danforth,BRAUER HALL,38.64891758333681,-90.3022798714576
Danforth,BROOKINGS HALL,38.64804025623622,-90.30514386062988
Danforth,BROWN HALL,38.64705674482074,-90.305541255761
Danforth,BRYAN HALL,38.6495133157652,-90.30703959487968
Danforth,BRYAN HALL,38.64958197542259,-90.30732088878625
Danforth,BRYAN HALL,38.649619853159706,-90.30690375647086
Danforth,BUSCH HALL,38.647535112976115,-90.30565924042821
Danforth,BUSCH HALL,38.64756852349818,-90.30535012329365
Danforth,BUSCH LAB,38.647708543368985,-90.30860572319204
Danforth,Bleachers,38.64743982530495,-90.31394352779908
Danforth,Bridge,38.64735500585678,-90.307782848473
Danforth,Bridge,38.64749598875475,-90.30770063051212
Danforth,Bridge,38.6474553566438,-90.30724782464836
Danforth,CENTRAL UNDERGROUND GARAGE,38.64792848837813,-90.31063411898329
Danforth,CHARLES KNIGHT CENTER,38.649718260508216,-90.31129334258034
Danforth,COMPTON HALL,38.64937417537405,-90.30518629482573
Danforth,CONCESSIONS BUILDING,38.64748624359801,-90.31279034614019
Danforth,CREVE COEUR LAKE BOATHOUSE,38.72657293035187,-90.4880099700374
Danforth,CROW HALL,38.649029772692835,-90.30521686765704
Danforth,CUPPLES I HALL,38.64862199536761,-90.30545643619386
Danforth,CUPPLES I HALL,38.648516042425435,-90.3052010896374
Danforth,CUPPLES Il HALL,38.64913880434488,-90.3068286581665
Danforth,CYCLOTRON,38.649886244163675,-90.30693876761596
Danforth,Covered Walkway,38.64668409087489,-90.30186471310702
Danforth,Covered Walkway,38.64969135412538,-90.31403946475373
Danforth,Covered_Bike_Rack,38.6508772445044,-90.3134462169808
Danforth,Covered_Bike_Rack,38.65053792021763,-90.31218300225532
Danforth,DANFORTH UNIVERSITY CENTER,38.64774242016825,-90.31051177184851
Danforth,DUNCKER HALL,38.64854180779515,-90.30611813732554
Danforth,DUNCKER HALL,38.6485081897484,-90.30643655304466
Danforth,EADS HALL,38.648239078912155,-90.30687514149837
Danforth,EADS HALL,38.648290931212195,-90.30666635035884
Danforth,EADS HALL,38.64829524873022,-90.30689721002068
Danforth,EADS HALL,38.64833561898546,-90.3071250181055
Danforth,EADS HALL,38.64815089601201,-90.30715425916631
Danforth,EADS HALL,38.648162412175125,-90.3070803644697
Danforth,EADS HALL,38.64814449030071,-90.30689351057867
Danforth,EADS HALL,38.64813593999695,-90.30680857001767
Danforth,EADS HALL,38.64809478217464,-90.30669756376071
Danforth,ENVIRONMENTAL HEALTH & SAFETY,38.6499532723414,-90.3079228609988
Danforth,GIVENS HALL,38.646655009768985,-90.30329438750194
Danforth,GOLDFARB HALL,38.64687450351237,-90.30586048275676
Danforth,GRAHAM CHAPEL,38.648233140796336,-90.30895899955374
Danforth,GREEN HALL,38.64880673775727,-90.30143439492961
Danforth,HILLMAN HALL,38.646917502092016,-90.30477392488359
Danforth,JANUARY HALL,38.64776162475575,-90.30633516191534
Danforth,JOLLEY HALL,38.6494141837894,-90.30661698969693
Danforth,JOLLEY HALL,38.64944270715402,-90.30639701908733
Danforth,JUBEL HALL,38.648810343188316,-90.3034643951699
Danforth,JUBEL HALL,38.64849434661108,-90.30316196596533
Danforth,KEMPER ART MUSEUM,38.64730627728091,-90.30263671539456
Danforth,KNIGHT HALL,38.64974735678225,-90.3107322885362
Danforth,KNIGHT HALL,38.64989071283831,-90.31048605360192
Danforth,KNIGHT HALL,38.64982454148912,-90.31033837350799
Danforth,LIFE SCIENCES BUILDING,38.64755442307144,-90.30856592685377
Danforth,LOPATA HALL,38.6491075833364,-90.30623122580289
Danforth,LOPATA HOUSE,38.651155195696376,-90.31452328324468
Danforth,LOUDERMAN HALL,38.64933834748139,-90.30761712414996
Danforth,LOUDERMAN HALL,38.64951943029187,-90.3078274283433
Danforth,MALLINCKRODT CENTER,38.64738532899041,-90.30947225506766
Danforth,MCDONNELL HALL,38.647204315609955,-90.30652914889549
Danforth,MILLBROOK BUILDING,38.650349932750736,-90.30958687083059
Danforth,MILLBROOK PARKING GARAGE,38.65004699758914,-90.31009374674093
Danforth,MILLBROOK PARKING GARAGE,38.65029920059105,-90.31010657161258
